0,1,2,3,4,5,6,7,8,9,10,11,uid
0,290000.0,2,1,1,39,-2,-2,-2,-2,-2,-2,uid_5244
1,60000.0,1,2,1,49,0,0,0,0,0,0,uid_26871
0,300000.0,2,2,2,40,-1,-1,-1,-1,-1,-1,uid_7099
0,80000.0,2,2,2,24,0,0,2,2,2,2,uid_28299
0,200000.0,1,1,1,38,-2,-2,-2,-2,-2,-2,uid_6397
0,280000.0,2,2,2,27,1,-2,-2,-1,-1,-1,uid_23287
0,210000.0,1,2,1,44,-2,-2,-2,-2,-2,-2,uid_6246
0,130000.0,2,1,2,27,1,-2,-1,2,2,-1,uid_702
0,150000.0,2,3,2,35,1,-1,-1,-1,-1,-2,uid_514
0,80000.0,2,2,2,27,0,0,0,2,0,0,uid_25675
0,80000.0,2,2,2,22,-1,-1,-1,0,0,-1,uid_23902
0,500000.0,2,2,1,32,-2,-2,-2,-2,-2,-2,uid_3913
0,30000.0,2,2,1,34,-1,-1,2,0,0,0,uid_26873
0,30000.0,2,2,1,32,-2,-2,-2,-2,-2,-2,uid_6185
0,180000.0,2,1,1,46,1,2,2,2,2,2,uid_4138
1,90000.0,2,2,2,25,0,0,0,0,0,0,uid_29538
0,180000.0,2,3,2,27,-1,-1,-1,-1,-1,-1,uid_6337
0,20000.0,1,1,2,23,0,0,0,0,0,-2,uid_24360
0,320000.0,1,1,2,31,-2,-2,-2,-2,-2,-2,uid_25822
1,140000.0,2,1,1,40,2,2,0,0,0,2,uid_8371
0,30000.0,2,1,2,22,0,0,0,0,0,0,uid_6313
0,270000.0,1,1,2,33,-1,-1,0,-1,0,0,uid_8593
0,150000.0,2,1,2,36,1,-1,-1,-1,-1,-2,uid_3718
0,200000.0,2,1,1,33,-2,-2,-1,0,0,-1,uid_3055
0,150000.0,2,2,2,30,0,0,0,2,2,2,uid_6436
0,100000.0,2,3,2,44,0,0,0,0,0,0,uid_10295
1,140000.0,1,1,2,34,2,2,2,2,2,2,uid_24547
0,260000.0,2,1,2,25,-1,-1,0,0,0,-1,uid_26654
0,210000.0,1,1,1,40,0,0,0,0,2,0,uid_7783
1,80000.0,1,1,2,26,1,-2,-2,-2,-2,-2,uid_5692
0,390000.0,1,1,1,34,0,0,0,-1,0,0,uid_9424
0,200000.0,1,1,1,58,0,0,0,0,0,0,uid_10251
0,280000.0,1,2,2,33,0,0,0,0,0,0,uid_26048
0,50000.0,2,2,2,30,-1,-1,-1,0,0,-1,uid_10146
1,440000.0,2,2,2,25,2,2,0,0,0,0,uid_481
1,50000.0,1,3,2,49,0,0,0,2,0,0,uid_23854
0,100000.0,2,3,1,31,-1,-1,-1,-2,-2,-2,uid_9225
1,120000.0,1,2,2,25,1,2,2,2,2,0,uid_8595
0,60000.0,1,1,2,25,0,0,0,0,0,0,uid_1904
0,50000.0,2,2,1,56,0,0,0,0,0,0,uid_25212
0,300000.0,2,2,1,40,-1,-1,-2,-2,-2,-2,uid_6015
0,250000.0,2,1,2,29,-1,-1,-1,0,-1,-1,uid_9208
0,20000.0,2,2,2,38,1,4,3,2,0,0,uid_24980
0,70000.0,2,1,2,24,0,0,0,0,0,0,uid_26656
0,30000.0,1,2,2,39,0,0,0,0,0,0,uid_2961
0,50000.0,2,5,1,32,0,0,0,0,0,0,uid_29416
1,60000.0,2,2,1,47,2,2,2,2,0,0,uid_4134
0,340000.0,1,2,1,55,-2,-1,-1,-2,-2,-2,uid_5873
0,20000.0,1,3,1,53,0,0,0,0,0,0,uid_26591
1,30000.0,1,2,2,28,-1,0,0,0,-1,-1,uid_7592
1,360000.0,1,1,1,38,-2,-2,-2,-2,-2,-2,uid_8750
0,180000.0,1,1,1,37,-1,0,0,0,0,0,uid_318
0,20000.0,1,3,2,47,-1,0,0,-2,-2,-1,uid_4520
1,80000.0,1,2,1,36,0,0,0,0,0,0,uid_2331
0,240000.0,1,2,1,33,0,0,0,0,0,0,uid_4797
0,30000.0,2,2,2,46,1,-1,0,0,0,0,uid_3495
0,360000.0,1,1,1,39,-1,-1,-1,-2,-2,-2,uid_638
0,360000.0,2,2,2,28,0,0,0,0,0,0,uid_28558
0,100000.0,2,2,2,22,1,2,0,0,0,0,uid_23942
0,230000.0,2,3,0,30,-1,-1,-1,2,0,-1,uid_634
0,200000.0,2,1,1,34,-1,2,-1,0,0,0,uid_7814
0,150000.0,1,1,2,26,-2,-2,-2,-2,-2,-2,uid_443
0,10000.0,1,2,2,23,-1,-1,0,-1,-1,-1,uid_25055
0,50000.0,2,2,1,58,1,2,2,2,2,2,uid_7143
0,30000.0,1,2,1,33,0,0,0,0,0,0,uid_11177
1,130000.0,1,3,2,43,1,-1,-1,-2,-1,-1,uid_2403
0,150000.0,1,2,1,27,0,0,0,0,0,0,uid_4828
1,20000.0,2,2,1,22,0,0,0,-1,-1,0,uid_10205
0,100000.0,2,2,1,52,0,0,0,0,0,0,uid_6628
0,50000.0,2,2,2,25,0,0,0,0,0,0,uid_7335
0,50000.0,1,2,1,46,0,0,0,0,0,0,uid_28076
0,150000.0,2,2,2,25,-2,-2,-2,-2,-2,-2,uid_5506
0,360000.0,1,2,2,48,0,0,0,0,0,-2,uid_7824
0,50000.0,1,1,2,29,0,0,0,0,0,0,uid_5019
0,170000.0,2,2,1,43,0,0,0,0,0,0,uid_28503
1,440000.0,2,2,1,47,1,-1,-1,-1,-1,-1,uid_27213
0,120000.0,2,2,1,38,-1,-1,-1,-1,-1,-1,uid_22842
1,50000.0,2,2,2,46,0,0,0,0,0,0,uid_4771
0,230000.0,2,3,1,32,-1,-1,-1,-1,-1,-2,uid_5710
0,50000.0,1,1,2,24,0,0,2,0,0,0,uid_24344
0,240000.0,2,1,2,26,-2,-2,-2,-2,-2,-2,uid_6377
0,200000.0,1,2,1,58,2,2,0,0,2,0,uid_22547
0,200000.0,2,1,2,32,-2,-2,-2,-2,-2,-2,uid_2263
0,240000.0,2,2,1,32,-2,-2,-2,-2,-2,-2,uid_25680
0,70000.0,2,3,1,49,1,2,2,2,2,0,uid_26337
1,100000.0,1,2,2,28,2,0,0,0,2,0,uid_23613
0,450000.0,1,1,2,37,0,0,0,0,0,0,uid_22811
1,10000.0,1,1,2,22,0,0,-1,-1,-1,-1,uid_23776
0,90000.0,2,2,2,39,2,2,2,2,2,2,uid_10778
0,30000.0,2,3,1,25,0,0,0,0,0,0,uid_2226
1,160000.0,1,2,1,32,1,2,0,0,0,0,uid_4546
1,20000.0,1,1,2,24,-1,-1,-1,-1,0,-1,uid_10381
0,410000.0,1,2,1,45,-2,-2,-2,-2,-2,-2,uid_2756
0,20000.0,1,2,2,37,0,0,0,0,0,0,uid_83
0,400000.0,1,1,2,29,0,0,0,-1,-1,2,uid_29619
0,20000.0,1,2,1,50,0,0,0,0,2,0,uid_24123
0,410000.0,1,1,2,32,-1,0,-1,-1,-1,-1,uid_399
0,160000.0,2,2,2,51,-1,-1,-1,-1,-1,-1,uid_1825
1,50000.0,1,2,2,30,2,2,2,2,2,-2,uid_925
0,200000.0,2,1,2,46,-2,-2,-2,-2,-2,-2,uid_5861
0,180000.0,1,3,1,39,0,0,0,0,0,0,uid_24495
0,50000.0,1,1,2,33,0,0,0,0,0,0,uid_1654
0,30000.0,1,2,2,25,-2,-2,-2,-2,-2,-2,uid_1261
0,350000.0,2,3,1,36,0,0,0,0,0,0,uid_5238
1,50000.0,2,2,2,25,2,2,2,0,0,0,uid_27584
0,500000.0,1,2,1,35,-2,-2,-2,-2,-2,-2,uid_2640
0,180000.0,2,1,1,31,-1,-1,-1,-1,-1,-1,uid_5392
0,30000.0,1,2,2,47,0,0,0,0,0,0,uid_862
0,200000.0,2,1,1,49,-1,-1,-1,-1,-1,-1,uid_9182
0,60000.0,2,2,2,26,1,2,0,0,-2,-2,uid_995
0,80000.0,1,2,2,26,1,2,2,2,0,0,uid_25513
0,270000.0,1,1,2,36,-2,-2,-2,-2,-2,-2,uid_6758
1,50000.0,1,3,1,36,3,2,2,2,2,-1,uid_2695
0,210000.0,2,2,1,30,0,0,0,0,0,0,uid_7328
0,100000.0,1,2,2,30,0,0,0,0,0,0,uid_24110
0,150000.0,1,2,1,31,2,2,0,0,0,0,uid_4952
0,320000.0,1,1,1,50,-2,-2,-2,-2,-2,-2,uid_10290
0,260000.0,2,1,2,27,0,0,0,0,0,0,uid_5213
0,350000.0,1,1,2,29,0,0,0,0,0,0,uid_9800
1,230000.0,2,1,2,31,-1,-1,-1,-1,-1,-1,uid_5885
1,270000.0,2,1,1,45,-2,-2,-2,-2,-2,-2,uid_28676
0,30000.0,1,2,2,34,0,0,0,0,0,0,uid_10983
0,230000.0,2,2,1,40,-1,-1,-1,0,0,0,uid_7419
0,730000.0,1,3,1,56,0,0,0,0,0,0,uid_24911
0,120000.0,1,2,3,42,0,0,0,0,0,0,uid_8404
0,20000.0,1,3,2,24,0,0,0,0,0,0,uid_7837
1,180000.0,2,1,2,42,2,2,2,2,2,2,uid_8234
0,200000.0,1,1,2,29,-2,-1,-1,-1,-1,-1,uid_3663
0,500000.0,2,1,1,37,-1,-1,-1,-1,0,0,uid_24509
1,20000.0,2,3,1,56,0,0,2,2,3,4,uid_10936
0,30000.0,1,2,2,27,0,0,0,2,0,0,uid_9957
0,70000.0,2,1,2,29,0,0,0,0,0,0,uid_1860
0,120000.0,2,2,1,31,0,0,0,0,0,0,uid_4408
0,220000.0,2,5,2,46,0,0,0,0,0,0,uid_8636
0,50000.0,1,2,2,26,0,0,0,-1,-1,-1,uid_9843
0,150000.0,2,4,1,36,-2,-2,-2,-2,-2,-2,uid_623
0,250000.0,1,1,1,34,0,0,0,0,0,0,uid_10881
0,60000.0,1,2,2,53,0,0,0,0,0,0,uid_3397
0,120000.0,2,2,1,34,0,0,0,0,0,0,uid_10360
1,190000.0,1,1,2,32,0,0,0,0,0,0,uid_26225
1,80000.0,2,1,2,29,0,0,0,0,0,2,uid_8984
0,80000.0,2,2,2,36,0,0,2,2,2,2,uid_10005
1,340000.0,1,1,1,34,-1,-1,-1,-1,2,0,uid_24028
0,500000.0,2,1,2,33,1,-1,-1,-1,-1,-1,uid_24799
0,500000.0,1,1,2,31,0,0,-1,-1,-1,-1,uid_24855
0,50000.0,2,2,1,39,0,0,0,0,0,0,uid_191
1,30000.0,2,2,2,23,2,0,0,0,0,0,uid_26095
0,200000.0,2,3,2,29,-1,-1,-1,-1,-1,-1,uid_26636
0,20000.0,1,1,2,27,-1,-1,2,-1,0,-1,uid_25801
0,200000.0,1,2,2,44,-1,-1,-1,-1,-1,-1,uid_28145
0,60000.0,2,2,2,24,0,0,0,-1,-1,-1,uid_22672
0,360000.0,2,1,2,29,1,-2,-2,-2,-2,-2,uid_1274
0,300000.0,2,1,1,51,0,0,0,0,0,0,uid_5955
0,270000.0,2,2,1,50,0,0,0,0,0,0,uid_10462
1,90000.0,2,2,2,24,1,-2,-2,-2,-2,-2,uid_3282
0,300000.0,2,1,2,35,0,0,0,0,0,0,uid_4082
0,360000.0,2,2,1,58,-2,-1,-1,-2,-2,-2,uid_9665
0,240000.0,2,1,2,28,0,0,0,0,0,0,uid_24035
1,30000.0,1,2,2,35,0,0,2,2,2,0,uid_5946
1,460000.0,1,1,1,41,-1,-1,-1,-1,-1,-1,uid_1800
0,50000.0,1,2,1,36,0,0,0,0,0,0,uid_11188
1,20000.0,1,2,1,39,2,0,0,0,0,0,uid_7366
0,50000.0,1,2,2,25,0,0,-1,0,0,-1,uid_9303
0,160000.0,1,1,2,29,-1,-1,-2,-1,0,0,uid_8736
1,30000.0,2,3,1,35,0,0,0,0,0,0,uid_9623
1,110000.0,2,2,2,33,0,0,0,0,0,0,uid_8768
0,100000.0,2,3,1,43,0,0,-2,-2,-2,-2,uid_205
0,100000.0,2,2,1,33,-2,-2,-2,-2,-2,-1,uid_857
1,50000.0,2,3,2,61,1,2,0,0,2,0,uid_5790
0,380000.0,1,1,2,41,0,0,2,0,0,0,uid_10739
0,140000.0,2,2,1,46,0,0,0,0,0,0,uid_26574
0,80000.0,2,2,2,23,0,0,0,-1,-1,0,uid_9564
1,20000.0,1,2,1,41,2,2,3,2,2,2,uid_7918
0,50000.0,2,2,1,34,2,2,2,0,0,0,uid_29929
1,50000.0,2,1,2,27,2,2,2,2,2,2,uid_1927
0,50000.0,1,1,1,49,0,0,0,0,0,0,uid_4937
1,60000.0,2,2,2,23,0,0,0,0,0,0,uid_24297
0,30000.0,1,2,1,36,2,2,0,0,0,0,uid_11209
1,30000.0,2,3,1,39,0,0,0,0,0,0,uid_8040
0,30000.0,1,2,3,45,0,-1,-1,0,0,-2,uid_9844
0,370000.0,1,6,1,28,0,-1,-1,-1,-1,-1,uid_2574
0,120000.0,2,1,2,29,-1,-1,-1,-1,-1,-1,uid_7754
0,210000.0,1,2,1,29,-1,-1,-1,-1,-1,-1,uid_2804
0,30000.0,1,3,2,23,2,2,2,2,2,2,uid_29263
0,230000.0,2,2,1,40,-2,-2,-2,-2,-2,-2,uid_1648
0,70000.0,1,1,1,42,0,0,0,0,0,0,uid_5284
0,20000.0,2,2,3,56,0,0,0,0,-1,-1,uid_6196
0,200000.0,2,2,1,29,1,-2,-1,-1,-1,-1,uid_28497
0,80000.0,2,2,2,31,0,0,0,0,0,0,uid_25686
1,60000.0,1,2,2,25,2,2,2,0,0,0,uid_5002
1,50000.0,2,1,2,25,1,-2,-2,-2,-2,-2,uid_27323
1,340000.0,1,1,2,33,1,-2,-2,-2,-2,-2,uid_26587
0,360000.0,1,1,1,50,-1,-1,-2,-1,-1,-2,uid_11227
0,150000.0,1,1,1,40,2,2,2,2,2,2,uid_24463
0,210000.0,2,1,2,24,-1,-1,0,0,0,-1,uid_3270
0,130000.0,1,2,1,35,0,0,0,0,-2,-2,uid_6705
0,50000.0,2,1,1,49,0,0,0,0,0,0,uid_26239
1,20000.0,1,2,2,22,1,2,2,2,0,0,uid_23643
1,80000.0,2,2,1,31,0,0,0,0,0,0,uid_27391
0,80000.0,2,1,2,22,0,-1,0,0,0,0,uid_8020
0,410000.0,1,3,2,38,-1,-1,-1,-1,-1,-1,uid_7772
0,20000.0,2,3,1,43,4,3,2,2,0,0,uid_5633
0,550000.0,2,1,2,33,0,0,0,0,0,0,uid_27901
0,80000.0,2,1,1,39,0,0,0,0,0,0,uid_10357
0,300000.0,2,1,1,41,-1,-1,-1,-1,-1,-2,uid_24483
0,20000.0,1,2,2,24,2,2,2,2,2,2,uid_2101
0,60000.0,2,5,1,30,-2,-2,-2,-2,-2,-2,uid_29652
1,740000.0,2,2,1,35,2,-1,-1,-1,-1,-1,uid_6205
0,100000.0,2,1,2,30,1,-2,-2,-2,-2,-2,uid_25909
1,130000.0,2,1,2,30,2,3,2,2,0,0,uid_7802
1,260000.0,2,2,2,32,0,0,0,0,0,0,uid_3199
0,150000.0,1,1,2,32,2,2,2,2,2,2,uid_7825
1,50000.0,2,2,2,47,0,0,0,0,0,0,uid_7537
1,170000.0,2,1,2,25,-1,-1,-1,-1,-1,-1,uid_7711
0,360000.0,1,1,2,33,0,0,0,0,-1,-1,uid_841
0,200000.0,1,2,1,40,0,0,0,0,0,0,uid_5182
0,350000.0,2,3,1,43,-1,2,-1,0,-1,-1,uid_29129
1,190000.0,1,2,2,36,0,0,0,0,0,0,uid_339
0,70000.0,2,1,1,22,0,0,0,0,2,0,uid_29773
0,130000.0,2,1,1,55,0,0,0,0,0,0,uid_11061
1,320000.0,2,1,2,27,1,-1,2,2,-2,-2,uid_9513
0,270000.0,1,1,2,29,-1,-1,-1,-2,-1,-1,uid_27070
0,80000.0,1,3,1,43,1,-2,-2,-2,-2,-1,uid_8618
0,220000.0,2,2,1,40,1,-2,-2,-2,-2,-2,uid_9048
0,240000.0,2,4,2,25,0,0,0,0,0,0,uid_7034
1,30000.0,2,2,1,50,2,2,2,2,3,2,uid_28142
0,340000.0,2,1,2,35,-1,-1,0,0,0,0,uid_25201
0,230000.0,2,1,2,31,-2,-2,-2,-1,-1,-1,uid_4330
0,20000.0,1,2,2,37,0,0,0,-2,-1,0,uid_23521
0,310000.0,2,2,1,32,0,0,0,0,0,0,uid_23921
1,20000.0,2,2,2,22,1,2,0,0,2,2,uid_833
0,90000.0,1,3,2,50,0,0,0,0,0,0,uid_6265
0,80000.0,1,2,2,34,0,0,0,0,0,0,uid_28646
0,30000.0,1,1,2,24,-1,-1,2,-1,3,2,uid_3969
0,80000.0,2,2,1,39,0,0,0,0,0,0,uid_1211
1,90000.0,1,2,1,48,2,2,-2,-2,-2,-2,uid_6054
0,80000.0,1,1,1,28,0,0,-2,-2,-2,-2,uid_1574
0,280000.0,2,1,1,37,1,-2,-2,-1,-1,-1,uid_4564
0,250000.0,1,2,1,53,0,0,2,0,0,0,uid_24160
0,100000.0,2,2,1,32,1,-2,-2,-2,-1,-1,uid_5741
0,150000.0,2,1,2,29,-1,-1,-1,-1,-1,-1,uid_8200
0,200000.0,1,1,3,45,0,0,0,0,0,0,uid_3563
1,100000.0,2,2,1,44,1,2,0,0,3,2,uid_3439
1,230000.0,2,2,1,39,0,-1,0,0,-1,0,uid_3325
0,240000.0,1,1,2,34,0,-1,2,-1,0,0,uid_8685
0,230000.0,1,1,1,37,-2,-2,-2,-2,-2,-2,uid_6307
0,300000.0,2,2,2,30,-1,-1,-1,-1,-1,2,uid_10028
1,50000.0,1,2,2,32,-1,2,2,-1,-1,-2,uid_6190
1,120000.0,1,1,2,33,2,2,2,2,2,2,uid_6348
0,100000.0,2,3,2,58,0,0,0,0,0,0,uid_26298
0,420000.0,2,1,1,47,1,-1,-1,0,0,0,uid_28447
0,30000.0,2,3,1,53,0,0,0,0,-1,0,uid_110
1,200000.0,2,1,2,29,-2,-2,-2,-2,-2,-1,uid_4136
0,30000.0,2,1,1,23,0,0,0,0,0,0,uid_24367
0,140000.0,2,3,1,33,-1,-1,-1,-1,-1,-1,uid_8560
0,150000.0,1,1,1,44,-1,-1,-1,-1,-1,0,uid_22641
0,80000.0,2,2,1,41,0,0,0,0,0,0,uid_26011
0,210000.0,1,2,1,48,0,0,0,0,0,0,uid_6931
0,250000.0,2,1,1,38,-1,-1,-1,-1,-1,-1,uid_4557
0,50000.0,2,3,2,30,0,0,0,0,0,0,uid_27293
0,140000.0,1,1,2,35,-2,-2,-2,-2,-2,-2,uid_9280
1,80000.0,1,2,1,31,0,0,0,0,0,0,uid_7200
0,70000.0,2,3,1,52,-1,-1,-1,0,0,0,uid_6328
1,20000.0,1,3,3,48,1,-2,-1,0,0,0,uid_6216
0,140000.0,2,2,1,35,0,0,0,0,0,0,uid_29927
0,430000.0,2,2,1,36,1,-2,-2,-2,-2,-2,uid_23328
1,30000.0,2,3,1,39,0,0,0,2,0,0,uid_1884
1,160000.0,2,2,1,41,2,2,2,0,0,-2,uid_26769
0,130000.0,1,2,2,28,-1,-1,-1,-1,-2,-2,uid_6201
0,200000.0,2,1,2,28,-2,-2,-2,-2,-2,-2,uid_28073
1,50000.0,2,2,2,22,2,0,0,0,0,0,uid_29677
0,160000.0,1,2,2,27,0,0,2,2,0,0,uid_23046
0,230000.0,2,1,2,29,0,0,0,0,0,0,uid_27833
0,290000.0,2,2,1,36,0,0,0,0,0,0,uid_27753
0,260000.0,1,3,2,52,1,-2,-2,-2,-2,-2,uid_707
0,70000.0,2,1,2,24,0,0,0,0,0,0,uid_4938
1,300000.0,1,1,1,38,-1,-1,-1,-1,-2,-2,uid_3898
0,20000.0,1,2,1,32,0,0,0,2,0,0,uid_3744
1,50000.0,2,2,2,23,0,0,0,0,-1,0,uid_27058
1,30000.0,2,2,1,40,2,2,3,3,2,2,uid_2494
0,230000.0,2,2,2,38,-2,-1,0,0,0,0,uid_6736
0,50000.0,2,3,2,22,0,0,0,0,0,0,uid_27758
1,100000.0,1,2,2,37,2,2,2,2,2,2,uid_25549
0,150000.0,2,2,1,28,0,0,0,0,0,0,uid_3958
0,30000.0,1,2,1,53,0,0,0,0,0,0,uid_7073
0,270000.0,2,2,1,35,-1,-1,-1,-1,-1,-1,uid_23515
0,390000.0,1,3,1,39,0,0,0,0,0,0,uid_26703
1,460000.0,2,2,2,35,0,0,0,0,0,0,uid_1515
0,50000.0,1,1,2,53,0,0,0,0,0,0,uid_4819
1,50000.0,1,2,2,25,-1,2,2,-2,-2,-2,uid_1491
1,50000.0,1,2,2,43,0,0,0,0,0,0,uid_530
1,10000.0,1,2,2,29,2,2,0,0,2,2,uid_29422
0,10000.0,1,2,2,25,4,3,3,2,0,0,uid_8830
1,300000.0,2,2,2,28,-2,-2,-2,-2,-2,-2,uid_1227
0,240000.0,2,1,2,28,0,0,0,0,0,0,uid_10252
0,120000.0,2,3,2,26,0,0,-2,-1,0,0,uid_26932
0,180000.0,1,2,1,43,0,0,0,0,0,0,uid_3466
0,480000.0,2,2,1,54,-2,-2,-2,-2,-2,-2,uid_3905
0,310000.0,2,2,2,26,0,0,0,0,0,0,uid_25453
1,60000.0,1,2,2,28,2,2,2,0,0,0,uid_24102
1,240000.0,2,2,1,36,1,-2,-2,-2,-2,-2,uid_22797
1,30000.0,1,2,1,33,0,0,0,0,0,0,uid_27857
0,60000.0,2,1,2,25,0,0,0,0,0,0,uid_24767
0,300000.0,2,1,2,31,-2,-2,-2,-2,-2,-2,uid_25361
0,160000.0,2,1,2,29,-1,0,-1,0,0,0,uid_28074
0,170000.0,2,1,2,32,-1,-1,-1,-1,-1,-1,uid_6657
1,20000.0,2,3,2,38,1,-1,-1,-1,-1,-2,uid_6516
0,360000.0,1,1,2,35,-1,-1,-1,-1,2,0,uid_28892
0,300000.0,1,3,1,40,0,0,0,0,0,0,uid_25934
0,240000.0,2,3,1,33,0,0,0,0,-1,0,uid_26917
1,70000.0,2,3,1,49,2,2,2,0,0,0,uid_7722
0,60000.0,2,3,1,60,0,0,0,0,0,0,uid_11037
0,80000.0,1,3,2,48,0,0,0,0,0,0,uid_3889
1,50000.0,2,3,1,48,-1,-1,-1,-1,-1,-1,uid_5480
0,100000.0,2,2,1,25,0,0,0,0,0,0,uid_22709
0,80000.0,2,2,1,44,-1,0,-1,-1,-1,-1,uid_10900
0,170000.0,2,2,1,45,0,0,0,0,2,2,uid_26698
0,50000.0,1,3,2,25,-1,0,0,0,0,0,uid_22515
0,150000.0,1,1,1,50,0,0,0,0,0,0,uid_7441
0,500000.0,2,1,1,45,-1,-1,-1,-1,-1,-1,uid_26954
1,30000.0,2,1,1,24,-1,-1,-1,-1,-1,-1,uid_25638
1,210000.0,2,2,1,35,-1,-1,-1,-1,0,-1,uid_3528
0,80000.0,2,2,2,42,0,0,0,0,0,0,uid_9556
0,210000.0,1,3,1,49,0,0,0,0,0,0,uid_1961
0,200000.0,1,2,2,30,-1,-1,-1,-1,-1,-1,uid_24643
1,230000.0,1,2,2,32,2,2,2,2,2,2,uid_26645
1,230000.0,2,1,2,49,2,2,-1,-1,-1,-1,uid_5292
0,150000.0,2,3,2,39,0,0,0,0,0,-1,uid_25508
0,400000.0,2,2,1,36,0,-1,2,-1,0,0,uid_7297
0,50000.0,1,3,2,29,0,0,0,0,0,0,uid_23130
1,80000.0,2,2,2,25,0,0,0,0,0,0,uid_23493
0,490000.0,2,2,2,28,0,0,0,0,0,0,uid_8718
0,60000.0,1,2,1,37,0,0,0,0,0,2,uid_26934
0,360000.0,2,1,1,30,1,2,-1,0,-1,-1,uid_6438
0,30000.0,1,2,1,29,0,0,0,0,0,-2,uid_4629
0,110000.0,2,3,1,27,0,0,0,0,0,0,uid_9224
0,20000.0,1,3,1,46,0,0,0,0,0,0,uid_3430
0,120000.0,1,1,1,45,0,0,0,0,0,0,uid_8435
0,240000.0,2,2,1,32,1,-2,-2,-1,-1,-1,uid_743
1,80000.0,2,2,2,24,2,2,2,2,2,2,uid_24583
0,280000.0,1,2,2,30,0,0,0,0,0,0,uid_3820
1,230000.0,2,1,1,30,-1,-1,0,0,0,0,uid_3059
0,360000.0,1,1,1,47,-1,-1,-1,0,-1,-1,uid_29368
0,630000.0,2,2,2,41,-1,0,-1,-1,-1,-1,uid_26706
0,350000.0,1,1,1,48,0,0,0,0,0,0,uid_1029
0,300000.0,1,1,1,55,0,0,0,0,0,0,uid_745
1,50000.0,1,2,1,25,1,-1,0,0,0,0,uid_6342
0,130000.0,2,2,2,23,0,0,0,0,0,0,uid_7554
0,80000.0,2,1,2,28,1,2,2,2,2,2,uid_5006
0,140000.0,1,1,2,30,-1,0,0,-2,-2,-1,uid_25578
1,20000.0,1,3,2,49,1,2,2,-1,0,0,uid_843
0,80000.0,1,2,1,28,0,0,0,0,0,0,uid_29264
0,130000.0,1,2,1,38,0,0,0,0,0,0,uid_329
0,80000.0,2,2,1,42,-2,-2,-2,-2,-2,-2,uid_9352
1,50000.0,2,2,1,36,2,2,4,3,2,2,uid_25895
0,490000.0,2,2,2,52,0,0,0,0,0,0,uid_25445
0,130000.0,2,3,1,28,0,0,0,0,-2,-2,uid_29206
0,500000.0,2,1,1,33,2,2,-1,-1,-2,-1,uid_24318
0,360000.0,2,1,2,28,0,0,0,0,0,0,uid_25524
0,80000.0,2,3,2,55,2,0,0,0,0,0,uid_4991
0,60000.0,2,3,1,53,-1,3,2,2,-1,0,uid_10355
0,360000.0,2,1,2,50,-1,-1,-1,-1,-1,-1,uid_25976
