lumpy,x,y,cld,dtr,frs,pet,pre,tmn,tmp,tmx,vap,wet,elevation,dominant_land_cover,X5_Ct_2010_Da,X5_Bf_2010_Da
0,140.25,67.75,54.2,7.4,31.0,0.0,5.4,-46.9,-43.2,-39.5,0.1,4.79,141,4,1.70315044,0.000190134
0,152.25,66.75,92.9,8.1,31.0,0.0,18.6,-37.0,-32.9,-28.9,0.3,19.18,149,6,2.132174476,0.000912849
0,48.75,34.75,61.2,11.5,29.55,0.8,48.8,-9.1,-3.3,2.5,3.4,11.36,192,5,731.580742,0.0
0,124.75,63.75,62.1,5.9,31.0,0.0,11.8,-37.1,-34.1,-31.2,0.3,4.6,158,3,5.923260946,0.000145955
0,40.25,55.75,85.8,5.9,30.88,0.1,43.3,-12.6,-9.6,-6.7,2.7,16.63,154,4,0.0,2.68e-05
0,35.75,28.75,28.8,12.2,5.85,2.9,8.6,4.8,10.9,17.0,6.3,1.62,178,9,0.002767144,0.0
0,103.25,32.25,58.5,15.0,29.83,1.5,6.4,-9.6,-2.1,5.4,0.4,5.37,180,4,542.7387366,0.0
0,136.75,63.75,55.9,7.0,31.0,0.0,1.9,-45.9,-42.4,-38.9,0.2,2.01,166,4,2.366103665,0.00055572
0,74.75,49.75,29.2,9.8,31.0,0.2,5.3,-25.6,-20.7,-15.8,0.8,3.26,171,2,83.07593058,0.002259589
0,98.25,23.25,22.0,14.1,3.39,2.2,25.6,6.1,13.1,20.2,11.3,8.56,202,4,649.3330655,486.4078969
0,60.25,53.75,49.6,8.9,31.0,0.1,6.3,-22.4,-17.9,-13.5,1.2,5.6,166,3,222.1030284,0.000451654
0,58.75,54.25,55.8,9.1,31.0,0.2,8.5,-23.7,-19.1,-14.6,0.9,7.12,180,4,274.5115861,2.52e-05
0,110.25,27.25,86.1,4.2,22.49,1.2,46.4,-1.8,0.3,2.4,3.1,15.02,195,4,139.484611,0.703596995
0,16.25,-19.75,58.8,15.2,0.0,4.8,101.0,17.4,25.0,32.6,15.7,14.0,186,3,212.1995159,0.0
0,125.75,61.25,70.1,6.0,31.0,0.0,11.5,-36.5,-33.5,-30.5,0.3,6.65,166,4,4.247928559,0.000168829
1,21.909957,42.335263,82.8,6.5,25.15,0.6,29.1,-3.9,-0.6,2.7,4.6,8.24,174,2,620.4410395,0.374475001
0,162.25,59.75,74.0,7.3,31.0,0.0,14.6,-23.9,-20.2,-16.6,1.4,9.01,194,5,18.2956469,0.007942322
0,88.25,62.75,82.8,7.1,31.0,0.0,22.2,-28.6,-25.0,-21.5,0.7,12.7,150,4,6.856563218,0.000353476
0,117.25,27.25,79.2,5.4,16.59,1.4,33.0,0.5,3.2,5.9,4.5,10.52,200,4,314.2148391,359.1317444
0,59.75,63.75,67.1,8.1,31.0,0.0,27.1,-23.5,-19.4,-15.4,1.2,14.05,158,11,0.03032201,2.09e-05
0,57.75,49.75,56.8,9.2,31.0,0.3,11.0,-20.3,-15.7,-11.1,1.4,3.78,166,8,125.722473,0.002468556
0,74.75,29.75,45.7,15.0,4.84,1.7,1.8,5.3,12.8,20.3,8.3,0.26,158,2,2974.381153,5354.2273
1,34.984138,32.636246,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38,167,2,1945.913549,0.0
0,18.75,-13.25,81.3,11.4,0.0,3.1,230.0,15.8,21.5,27.2,19.8,16.0,185,4,5.597916396,0.0
0,177.75,65.75,52.2,8.3,31.0,0.0,38.2,-23.5,-19.3,-15.2,1.6,10.71,166,3,0.0,0.000776114
0,83.25,46.75,47.3,10.6,31.0,0.3,14.4,-23.4,-18.1,-12.8,0.9,5.71,168,3,248.081512,0.0
0,114.75,37.25,24.7,10.0,29.31,1.1,0.4,-8.7,-3.7,1.3,2.0,0.76,147,2,3.56e-05,0.0
0,156.25,55.75,64.4,6.4,31.0,0.0,16.4,-16.0,-12.8,-9.6,2.2,9.71,153,4,37.99643788,0.000309925
0,69.75,55.25,43.9,8.5,31.0,0.0,3.5,-25.4,-21.1,-16.9,1.2,4.42,154,2,134.8908611,0.002669842
1,22.229204,42.426228,80.4,6.6,25.78,0.7,28.2,-4.5,-1.2,2.1,4.1,8.19,135,4,562.0941322,0.883214041
0,148.25,60.25,64.0,6.6,31.0,0.1,17.1,-26.0,-22.7,-19.4,0.8,10.65,153,4,0.048554911,0.000250457
0,146.25,65.75,70.5,8.1,31.0,0.0,9.9,-43.2,-39.1,-35.1,0.2,9.26,175,4,0.0,0.0
0,74.75,19.25,17.7,17.7,0.0,3.5,0.0,12.4,21.2,30.1,10.6,0.0,182,2,6182.733112,1313.110968
0,105.25,70.75,57.1,7.2,31.0,0.0,27.4,-33.8,-30.2,-26.6,0.4,12.95,164,3,6.190816465,0.000826782
0,56.25,57.75,68.7,6.8,31.0,0.1,32.1,-17.6,-14.2,-10.8,1.8,11.41,164,4,331.9912189,0.011515279
0,148.25,67.75,78.2,7.9,31.0,0.0,15.3,-38.7,-34.7,-30.8,0.2,15.32,159,4,1.132020158,0.000291895
0,122.75,45.75,27.0,10.8,31.0,0.2,0.7,-24.1,-18.7,-13.3,1.2,0.58,152,2,422.7657709,0.0
0,131.75,48.25,38.7,9.1,31.0,0.1,5.3,-26.7,-22.1,-17.6,1.0,2.05,149,3,22.96303859,0.001135536
0,99.25,23.25,33.6,14.4,5.64,2.1,35.7,4.9,12.1,19.3,10.4,14.31,158,2,2869.282219,517.9234691
0,77.25,49.25,38.5,10.4,31.0,0.4,5.1,-26.7,-21.5,-16.3,0.5,6.9,185,3,162.9276277,0.001917537
0,87.25,28.25,37.7,19.2,31.0,1.3,4.8,-20.8,-11.2,-1.6,0.1,1.04,127,3,84.47771215,0.0
0,94.25,74.75,62.1,7.3,31.0,0.0,14.1,-33.5,-29.8,-26.2,0.5,16.2,156,3,5.70965428,0.000645313
0,147.25,71.25,64.8,7.8,31.0,0.0,18.3,-36.7,-32.8,-28.9,0.3,14.37,147,3,0.0,0.0
0,102.25,39.75,30.5,13.4,31.0,0.4,0.9,-19.8,-13.1,-6.4,1.8,0.5,191,8,13.87303832,0.0
0,40.75,31.25,36.1,12.3,7.38,2.3,5.2,4.1,10.2,16.4,7.0,3.63,172,9,0.0,0.0
0,112.25,36.75,32.9,10.8,31.0,1.2,0.8,-14.2,-8.8,-3.4,0.0,1.75,165,2,904.3919416,0.0
0,105.25,69.25,61.4,7.7,31.0,0.0,15.4,-35.1,-31.2,-27.4,0.3,8.98,166,3,5.155617959,0.00017468
0,112.25,53.25,26.6,12.7,31.0,0.1,1.1,-35.1,-28.7,-22.4,0.1,0.57,190,4,71.40486416,0.000296549
0,107.25,56.25,65.9,9.7,31.0,0.0,7.5,-37.4,-32.5,-27.7,0.3,4.52,169,4,19.4006142,2.77e-05
0,82.25,63.25,87.4,7.0,31.0,0.0,20.1,-26.9,-23.4,-19.9,1.0,17.59,161,4,0.003043233,7.34e-05
0,103.25,59.75,71.9,10.1,31.0,0.0,8.7,-36.6,-31.5,-26.5,0.3,5.2,161,4,15.24624029,2.78e-05
0,119.25,29.25,67.1,5.6,20.27,1.3,45.5,-0.9,1.9,4.7,4.3,12.04,142,4,271.9109308,580.8818295
0,95.75,64.25,74.5,6.4,31.0,0.0,19.1,-36.1,-32.9,-29.7,0.2,10.42,144,4,8.373088244,0.000190707
0,35.75,64.25,88.9,6.9,31.0,0.1,50.3,-15.2,-11.7,-8.3,2.3,14.85,149,4,1.849323534,0.001354653
0,18.25,-16.25,71.3,12.8,0.0,3.7,163.0,17.7,24.1,30.5,20.0,13.6,182,3,126.4019352,0.0
1,20.400568,41.978723,81.0,6.6,24.49,0.8,79.1,-3.3,0.0,3.3,4.4,10.8,131,4,1087.326487,0.0
0,61.25,64.25,67.5,7.9,31.0,0.0,24.0,-23.0,-19.0,-15.1,1.2,13.93,145,4,0.037635025,0.004723684
0,67.25,63.75,80.7,5.8,31.0,0.1,21.6,-22.7,-19.8,-16.9,1.1,11.46,148,4,0.042021907,0.005390074
0,117.75,32.25,55.7,7.5,25.36,1.4,10.2,-4.1,-0.3,3.5,2.9,3.58,150,2,37.81018768,1407.026467
0,107.75,14.75,48.1,7.8,0.0,2.5,33.2,13.8,17.7,21.6,17.1,3.02,170,2,888.6042158,243.2488529
0,64.25,51.75,33.8,8.7,31.0,0.1,6.3,-23.6,-19.2,-14.9,1.2,4.85,159,3,107.4652268,0.002341504
1,20.331414,42.225746,82.0,6.0,26.09,0.7,71.6,-4.8,-1.8,1.2,3.8,10.45,151,4,1140.51243,0.0
1,22.38332,42.45146,80.4,6.6,25.78,0.7,28.2,-4.5,-1.2,2.1,4.1,8.19,135,4,562.0941322,0.883214041
0,159.75,55.75,78.9,6.1,31.0,0.0,36.2,-18.2,-15.1,-12.1,2.1,12.71,150,4,1.183454299,0.000534522
0,81.25,19.25,18.4,14.9,0.0,3.1,0.0,12.6,20.0,27.5,13.8,0.01,170,4,1392.583538,364.2826602
0,48.75,40.75,67.9,8.0,27.5,0.7,28.8,-6.3,-2.3,1.7,3.2,8.7,163,2,930.2718214,14.70233086
0,122.75,62.75,58.4,6.1,31.0,0.0,12.6,-36.2,-33.1,-30.1,0.3,4.58,161,4,3.004827442,0.000166146
0,100.25,55.75,58.3,10.9,31.0,0.0,8.8,-32.2,-26.7,-21.3,0.7,9.81,175,4,29.04971303,3.22e-05
0,169.75,61.75,66.3,9.1,31.0,0.0,35.0,-25.8,-21.2,-16.7,1.2,10.87,158,3,9.599504957,0.000226142
0,153.75,64.25,82.9,8.3,31.0,0.0,23.4,-37.7,-33.5,-29.4,0.3,21.46,164,4,0.032016429,0.000170183
0,40.25,21.75,47.3,12.3,0.0,4.0,8.6,11.8,17.9,24.1,9.1,2.39,165,8,2.016646227,0.0
0,178.75,63.25,50.4,8.0,31.0,0.0,36.6,-20.1,-16.1,-12.1,2.1,11.29,142,5,0.0,0.005713863
0,126.75,44.25,29.9,11.3,31.0,0.1,2.8,-25.5,-19.8,-14.2,1.2,3.0,165,4,1527.557536,0.0
0,19.25,-25.75,38.1,15.1,0.0,6.8,48.3,20.1,27.6,35.2,14.1,8.07,180,3,33.74755086,0.0
0,40.25,25.25,40.5,12.4,0.01,3.9,8.7,9.8,16.0,22.2,4.9,2.37,176,9,8.36e-12,0.0
0,93.75,59.75,74.2,7.7,31.0,0.1,16.4,-32.0,-28.1,-24.3,0.3,7.58,160,4,8.326059617,2.05e-05
0,47.75,42.25,72.5,6.7,26.19,0.7,16.7,-4.9,-1.5,1.9,4.1,8.89,141,2,1372.820274,0.001878854
0,101.75,76.75,53.6,6.9,31.0,0.0,13.3,-35.2,-31.7,-28.3,0.4,14.67,147,3,5.100799821,0.000516427
0,76.25,53.25,40.5,9.0,31.0,0.1,5.8,-26.9,-22.4,-17.9,0.9,2.6,152,2,176.0170931,0.003661293
0,41.25,49.25,80.5,5.1,29.61,0.2,32.4,-9.2,-6.6,-4.1,3.4,15.29,150,2,271.6337764,5.76e-05
0,104.75,74.75,53.3,6.1,31.0,0.0,18.4,-34.3,-31.2,-28.2,0.5,13.86,153,3,0.0,0.0
0,57.25,47.75,62.0,9.4,31.0,0.3,11.8,-18.1,-13.4,-8.7,1.8,7.33,159,8,61.05955221,0.002961484
1,19.573173,42.949039,78.7,5.8,27.59,0.9,65.2,-6.4,-3.5,-0.6,2.8,9.83,157,4,548.1908323,0.0
0,113.25,38.25,28.8,11.1,31.0,1.1,0.9,-16.0,-10.4,-4.9,0.0,1.54,174,3,257.8647932,0.0
0,35.75,39.75,70.9,8.1,26.68,0.6,60.1,-5.4,-1.3,2.8,4.1,14.84,184,2,1029.402959,8.254851602
0,32.75,55.25,87.3,5.0,29.77,0.1,59.8,-9.5,-7.0,-4.5,3.5,21.54,159,4,152.5041493,2.61e-05
1,91.876,22.298,30.5,11.3,0.0,2.5,3.9,14.0,19.6,25.3,15.3,0.0,149,4,1719.636454,32.81055754
0,76.75,57.25,57.0,7.9,31.0,0.0,7.9,-26.5,-22.5,-18.6,1.0,3.96,154,4,78.03015323,0.000453196
0,102.25,34.25,46.1,18.8,31.0,1.0,3.5,-22.3,-12.9,-3.5,0.0,2.9,186,3,284.5123228,0.0
0,81.75,64.25,89.5,6.4,31.0,0.0,22.9,-26.0,-22.8,-19.6,1.0,18.78,147,4,0.005308058,0.0
0,94.75,63.25,75.6,6.9,31.0,0.1,20.1,-35.1,-31.6,-28.2,0.1,9.44,164,4,9.104279762,0.000131592
0,56.25,56.75,69.4,7.7,31.0,0.0,24.7,-19.6,-15.7,-11.9,1.7,11.34,158,2,179.3123636,0.00021953
0,114.75,55.75,56.3,11.1,31.0,0.1,0.9,-39.0,-33.4,-27.9,0.1,1.35,121,4,37.45205609,0.0005829
0,55.25,58.25,69.9,6.5,31.0,0.1,40.7,-17.4,-14.1,-10.9,1.8,15.43,155,4,126.2670767,0.000566122
0,92.75,24.25,42.2,12.8,0.0,1.9,17.5,9.9,16.3,22.7,13.8,0.77,150,4,255.6071185,0.743992924
0,84.75,59.25,66.9,7.1,31.0,0.0,14.3,-26.5,-22.9,-19.4,0.9,13.23,153,6,5.351878577,0.000235678
1,23.763333,41.740556,80.8,6.4,25.99,0.9,33.9,-4.7,-1.5,1.7,3.6,7.47,189,4,86.1292802,1.02e-07
0,66.75,58.75,57.2,7.4,31.0,0.0,10.8,-22.6,-18.9,-15.2,1.3,4.51,151,4,3.794624026,0.000291562
0,116.75,40.25,20.9,10.0,30.84,1.0,0.0,-12.4,-7.4,-2.4,1.3,0.0,148,2,13072.40147,0.0
0,94.75,61.75,74.8,7.9,31.0,0.0,19.3,-34.2,-30.2,-26.3,0.2,6.84,167,4,9.884299459,0.000131194
0,61.75,76.25,77.5,8.0,31.0,0.0,18.4,-29.0,-25.0,-21.0,0.9,17.64,155,9,0.0,0.0
0,85.25,43.75,39.4,11.2,31.0,0.4,4.2,-30.3,-24.7,-19.1,0.0,2.49,191,3,130.6473373,0.0
0,65.25,51.25,35.5,8.5,31.0,0.1,8.4,-23.7,-19.4,-15.2,1.2,5.98,163,8,103.2232343,0.002874078
0,92.75,33.75,38.0,16.1,31.0,0.9,1.2,-23.6,-15.5,-7.5,0.3,1.08,212,3,127.0842351,0.0
1,34.538857,36.922657,65.9,7.3,9.03,1.3,146.7,3.4,7.0,10.7,6.5,12.13,134,4,178.5038584,0.0
0,60.25,60.25,71.3,8.9,31.0,0.0,28.8,-22.0,-17.5,-13.1,1.4,11.32,157,5,15.56729639,3.6e-06
0,173.75,61.75,64.8,8.4,31.0,0.0,39.1,-20.9,-16.7,-12.5,2.0,15.5,157,9,25.09000463,0.001554125
0,20.25,-16.75,68.8,12.0,0.0,3.6,172.0,17.7,23.7,29.7,22.4,15.6,184,3,95.18409315,0.0
0,40.75,59.75,89.7,6.8,31.0,0.0,44.2,-15.9,-12.5,-9.1,2.3,18.86,158,4,78.28438106,1.89e-05
0,16.25,-7.75,85.0,11.8,0.0,2.9,127.5,16.9,22.8,28.7,23.0,8.79,180,4,0.069051052,0.0
0,79.75,62.25,84.1,6.8,31.0,0.0,18.5,-25.4,-22.0,-18.6,1.0,15.26,151,4,0.02008676,8.77e-05
0,139.75,68.25,52.7,7.5,31.0,0.0,4.2,-48.8,-45.0,-41.3,0.1,3.6,199,3,1.816386938,0.001105953
0,50.75,24.25,45.7,7.9,0.0,3.5,20.6,15.3,19.2,23.2,13.5,8.42,155,9,4.095399922,0.0
0,25.75,26.75,21.0,14.9,3.39,2.7,0.0,6.1,13.5,21.0,8.2,0.0,168,9,5.922929241,0.0
0,64.75,60.25,61.6,7.1,31.0,0.0,17.9,-21.3,-17.7,-14.2,1.3,5.22,149,3,3.67574219,0.000403676
0,64.75,47.25,54.1,8.6,31.0,0.2,8.1,-18.8,-14.5,-10.2,1.8,7.46,155,9,42.33057541,0.006903322
1,35.338278,37.812983,69.4,6.7,26.39,0.9,75.9,-5.1,-1.7,1.7,3.6,12.25,71,4,219.2562596,0.0
0,74.75,38.75,46.1,10.1,31.0,0.6,7.9,-21.6,-16.5,-11.5,0.1,2.64,184,3,238.5995334,0.0
0,39.25,47.25,79.8,5.3,27.23,0.3,42.7,-6.0,-3.3,-0.7,4.3,14.92,145,11,508.8197641,0.064062661
0,112.25,75.25,63.3,6.1,31.0,0.0,11.3,-40.0,-36.9,-33.9,0.3,10.59,151,3,0.0,0.0
0,119.75,32.75,48.8,7.7,26.09,1.3,5.0,-4.8,-0.9,3.0,3.0,3.47,147,2,663.5631875,0.000236096
0,40.75,32.25,38.3,12.1,8.55,1.9,8.8,3.6,9.6,15.7,8.0,4.57,171,9,28.44322852,1.9e-10
1,86.857682,21.636522,37.0,13.2,0.0,2.5,1.5,13.1,19.7,26.3,17.3,0.13,146,2,8614.420873,116.2412195
0,94.75,65.25,74.9,6.6,31.0,0.1,21.4,-36.3,-33.0,-29.7,0.1,15.38,169,3,9.742312815,0.000157201
0,168.75,65.25,66.7,9.7,31.0,0.0,19.9,-29.0,-24.1,-19.3,1.0,10.28,161,4,0.0,0.000214447
0,106.75,76.75,57.4,6.8,31.0,0.0,11.9,-37.6,-34.2,-30.8,0.5,12.71,146,3,0.0,0.0
0,72.75,66.25,86.8,6.2,31.0,0.0,27.5,-24.4,-21.3,-18.2,1.2,18.74,146,6,0.00138972,0.001648209
0,45.75,55.25,73.8,5.7,31.0,0.1,52.8,-14.0,-11.1,-8.3,2.4,21.82,161,2,270.767753,0.000977031
0,73.75,64.25,81.9,6.8,31.0,0.0,25.4,-24.5,-21.1,-17.7,1.1,18.22,152,6,0.008620632,0.000122833
1,20.324368,41.7175,81.0,6.6,24.49,0.8,79.1,-3.3,0.0,3.3,4.4,10.8,131,4,1087.326487,0.0
1,36.029557,37.447029,65.9,6.8,5.85,1.1,140.5,4.8,8.2,11.6,6.9,13.17,145,2,1327.207178,0.241124099
0,115.25,27.75,80.4,4.1,14.99,1.3,42.2,1.1,3.1,5.2,4.7,11.31,155,4,943.676231,795.1287505
0,43.25,65.25,88.1,7.3,31.0,0.0,48.0,-18.9,-15.2,-11.6,1.9,22.32,145,4,1.296752385,0.003568397
0,104.75,22.75,81.4,3.8,0.0,1.7,22.2,10.1,12.0,13.9,9.4,8.86,137,4,382.6099812,2669.666386
0,85.75,48.75,44.6,11.4,31.0,0.2,7.7,-34.6,-28.9,-23.2,0.0,5.8,187,11,0.0,0.0
0,70.75,47.75,33.5,10.3,31.0,0.2,5.8,-21.8,-16.6,-11.5,1.4,2.26,175,8,43.29145382,0.006396338
1,44.216086,46.479088,79.8,5.7,28.01,0.2,15.9,-6.9,-4.0,-1.2,4.3,11.87,157,3,1562.95209,0.000429591
0,42.25,21.75,45.5,12.5,0.0,3.8,8.0,11.2,17.4,23.7,8.9,2.08,186,9,0.569933542,0.0
1,35.207342,32.403422,54.0,8.3,0.74,1.7,102.9,8.2,12.3,16.5,10.4,14.83,191,3,523.3880539,0.0
0,-175.75,67.25,82.0,7.3,31.0,0.0,57.0,-20.3,-16.6,-13.0,1.9,14.16,153,3,0.0,0.00313489
0,155.75,69.25,81.9,8.8,31.0,0.0,13.7,-36.8,-32.4,-28.0,0.3,14.5,150,3,2.441717672,0.000990587
0,72.75,51.75,34.6,8.9,31.0,0.1,5.6,-25.0,-20.5,-16.1,1.1,2.59,166,3,153.6982512,0.002790464
1,19.90351,41.31854,71.1,8.3,12.33,0.9,103.8,2.1,6.2,10.4,6.9,11.11,170,2,1531.08631,0.0
0,128.25,65.25,68.5,6.9,31.0,0.0,6.8,-46.0,-42.5,-39.1,0.2,4.97,197,3,2.382725069,0.000856199
0,35.25,31.25,44.4,10.1,0.45,2.2,49.1,8.6,13.6,18.7,10.1,10.21,148,9,493.2787173,0.0
0,110.75,51.75,32.1,12.0,31.0,0.1,1.9,-34.3,-28.3,-22.3,0.4,1.57,185,4,66.72462188,4.57e-05
0,129.75,55.75,51.5,10.0,31.0,0.0,5.5,-38.8,-33.8,-28.8,0.3,4.28,165,4,1.684681954,0.001167462
0,104.25,73.25,51.4,6.3,31.0,0.0,34.0,-32.6,-29.4,-26.3,0.5,15.62,155,3,6.246058688,0.001005504
0,140.25,69.25,54.0,7.2,31.0,0.0,7.2,-46.3,-42.7,-39.1,0.1,5.57,150,4,2.095602312,0.000131761
0,94.75,79.75,60.0,7.4,31.0,0.0,7.8,-37.1,-33.4,-29.7,0.3,9.14,158,3,5.635185233,5.84e-05
0,23.75,-11.75,83.8,11.0,0.0,3.0,227.1,16.3,21.8,27.3,19.6,21.68,173,4,1.784572489,0.0
0,25.25,23.75,17.5,15.9,8.31,3.1,0.7,3.7,11.6,19.6,5.5,0.0,187,9,23.1232522,0.0
1,26.14,40.84,71.0,6.8,14.99,0.8,46.5,1.1,4.5,7.9,6.8,10.88,169,2,1442.228396,0.00013366
0,124.75,43.75,23.3,9.4,31.0,0.2,1.0,-22.2,-17.5,-12.8,1.3,0.84,158,2,4041.451075,0.0
0,139.75,48.75,47.8,7.0,31.0,0.3,25.1,-18.3,-14.8,-11.3,1.5,7.87,135,6,5.642473821,0.002542598
0,117.75,68.75,72.0,7.0,31.0,0.0,14.0,-37.5,-34.0,-30.5,0.3,7.88,151,4,1.328907281,0.00014095
0,178.75,68.75,61.0,8.6,31.0,0.0,29.1,-29.0,-24.7,-20.4,1.0,15.17,166,4,0.0,0.000926772
0,138.25,69.25,52.7,7.0,31.0,0.0,7.2,-47.6,-44.1,-40.6,0.1,4.96,165,3,1.248160832,0.000154411
0,111.75,34.25,49.0,10.2,29.37,1.5,0.6,-8.8,-3.7,1.4,0.6,1.48,211,3,1344.240351,0.0
1,21.889958,42.477722,82.8,6.5,25.15,0.6,29.1,-3.9,-0.6,2.7,4.6,8.24,174,2,620.4410395,0.374475001
0,133.75,70.75,53.2,6.1,31.0,0.0,13.4,-46.2,-43.1,-40.1,0.1,9.37,148,3,3.073174127,0.000373603
0,42.75,26.75,41.1,12.5,0.59,3.4,5.0,8.4,14.6,20.9,6.3,2.56,175,9,0.002896053,0.0
0,15.75,-15.75,73.8,13.1,0.0,3.9,114.0,17.1,23.6,30.2,16.7,8.8,180,4,1605.257673,0.0
0,43.25,25.75,41.6,12.5,0.39,3.5,6.1,8.7,14.9,21.2,6.4,2.73,176,9,1.723497281,0.0
0,15.75,-11.75,85.0,10.6,0.0,3.0,170.2,14.3,19.6,24.9,16.7,13.67,180,4,23.0510126,0.0
0,46.75,47.25,77.5,6.5,29.24,0.3,13.0,-8.6,-5.3,-2.1,3.7,8.34,144,9,312.3975027,4.649862931
0,69.25,58.75,54.2,7.8,31.0,0.0,9.8,-24.7,-20.8,-16.9,1.1,6.47,152,4,56.71103299,2.33e-05
0,98.75,54.75,50.1,11.8,31.0,0.1,6.0,-33.8,-27.9,-22.0,0.4,7.02,161,4,32.18645461,2.84e-05
0,145.25,65.25,65.4,8.4,31.0,0.0,6.7,-47.1,-42.9,-38.7,0.2,5.75,197,3,0.0,0.0
0,135.75,50.75,45.9,10.1,31.0,0.1,6.8,-28.9,-23.8,-18.8,0.6,4.2,138,4,1.433056948,3.79e-05
0,146.75,63.75,69.6,8.3,31.0,0.0,10.0,-42.2,-38.0,-33.9,0.3,7.89,167,3,0.055148004,0.000389474
1,19.6641,40.92414,71.9,8.4,8.31,1.1,112.3,3.7,7.9,12.1,7.5,10.82,155,2,2595.57264,0.0
0,36.75,38.25,70.9,8.3,28.25,0.7,80.0,-7.2,-3.0,1.2,3.5,12.69,132,3,715.9735808,1.17e-07
0,125.25,42.75,18.3,12.4,31.0,0.2,1.7,-24.1,-17.9,-11.7,1.3,2.82,170,2,2684.709649,0.0
0,67.25,66.75,98.6,4.3,31.0,0.0,19.8,-23.1,-20.9,-18.8,1.2,16.07,145,11,0.002448521,0.007338283
0,86.25,47.25,39.1,10.2,31.0,0.3,6.4,-26.8,-21.7,-16.6,0.1,3.56,191,3,36.49048847,0.0
0,168.75,62.25,65.1,8.9,31.0,0.0,32.3,-25.4,-20.9,-16.5,1.3,11.45,159,3,6.573554127,0.000216749
0,45.75,66.75,87.7,8.1,31.0,0.1,33.5,-20.9,-16.8,-12.8,1.5,20.8,146,6,0.348647959,0.008615609
