lumpy,x,y,cld,dtr,frs
0,129.25,62.25,85.6,6.0,31.0
1,49.4823,25.3751,45.4,8.7,0.0
0,19.25,-23.75,46.4,14.4,0.0
0,87.75,43.25,30.5,11.4,31.0
0,79.25,64.75,93.0,6.8,31.0
0,74.25,33.75,72.9,8.3,24.15
0,45.75,45.25,80.9,6.0,26.48
0,99.25,22.75,29.4,14.7,6.93
0,29.75,38.75,70.9,8.4,21.52
0,77.25,24.25,18.6,14.8,0.52
1,19.498164,40.807024,71.9,8.4,8.31
0,21.75,-9.75,82.5,12.6,0.0
0,109.75,38.25,30.0,12.7,31.0
0,105.25,41.25,26.2,12.3,31.0
0,82.25,51.75,63.3,9.2,31.0
0,98.75,30.25,42.0,14.6,30.8
0,113.75,71.25,70.4,6.2,31.0
0,57.75,80.25,76.3,8.3,31.0
0,76.25,60.25,67.3,7.6,31.0
0,104.25,55.75,61.3,10.0,31.0
0,159.25,55.25,75.0,5.7,31.0
0,50.25,58.75,68.0,6.0,31.0
0,47.25,31.75,45.4,11.6,1.91
0,86.75,30.25,36.6,16.4,31.0
0,58.25,51.25,54.1,9.1,31.0
0,104.75,69.25,60.2,7.7,31.0
0,125.75,60.25,77.0,6.3,31.0
0,45.75,50.75,77.3,6.4,30.73
0,164.25,62.25,65.4,7.7,31.0
0,21.75,39.25,57.2,8.0,17.92
0,101.25,56.25,64.9,10.6,31.0
0,71.25,61.75,66.2,6.6,31.0
0,176.75,65.75,53.0,8.6,31.0
0,144.25,69.25,61.8,7.4,31.0
0,70.75,21.75,18.4,15.5,0.0
0,115.75,41.75,23.3,11.0,31.0
0,161.75,56.75,81.4,6.8,31.0
1,18.47,-19.94,63.8,12.6,0.0
1,19.19,-21.6,60.0,14.0,0.0
0,129.75,50.25,36.2,12.0,31.0
0,95.75,24.25,23.7,11.8,0.0
0,108.25,61.25,75.6,8.7,31.0
0,95.75,80.75,58.8,7.5,31.0
0,135.75,49.25,48.6,7.4,31.0
0,131.75,55.75,51.8,10.0,31.0
0,106.25,31.75,76.1,5.2,17.66
0,57.75,32.25,43.5,13.9,10.02
0,100.25,53.75,51.6,11.2,31.0
0,32.75,65.75,89.4,8.0,31.0
0,62.25,58.25,66.5,7.6,31.0
0,64.25,56.25,55.0,8.0,31.0
0,126.25,54.75,51.3,10.9,31.0
1,22.335067,42.292231,80.4,6.6,25.78
0,88.25,54.25,58.9,10.3,31.0
0,84.25,72.25,72.7,7.4,31.0
0,42.75,30.25,36.8,12.2,3.91
0,127.75,50.75,27.7,11.1,31.0
0,38.75,54.75,82.3,5.5,30.76
0,60.75,54.25,49.8,8.6,31.0
0,78.25,56.25,53.7,7.7,31.0
0,132.25,46.25,35.6,9.0,31.0
0,47.25,52.25,73.9,6.4,31.0
0,123.75,72.75,62.5,5.9,31.0
1,118.427993,24.481109,72.4,5.8,1.91
0,123.75,45.25,24.1,10.8,31.0
0,114.75,67.75,82.1,7.6,31.0
0,92.75,30.25,36.5,16.8,31.0
0,134.25,66.75,53.5,6.5,31.0
0,78.75,14.25,19.6,11.9,0.0
1,16.33,-17.51,67.5,13.1,0.0
1,19.62631,40.35514,73.3,8.3,12.07
0,128.25,64.25,72.1,6.5,31.0
0,138.75,68.25,51.3,7.9,31.0
0,106.25,25.25,81.2,4.3,6.06
0,79.25,24.25,17.6,15.1,0.59
0,28.25,58.75,90.6,5.5,29.49
0,123.25,72.25,62.5,5.8,31.0
0,82.25,44.25,42.2,12.9,31.0
0,136.25,56.25,52.4,8.5,31.0
0,58.25,74.75,73.8,8.9,31.0
0,79.25,65.75,93.2,6.2,31.0
0,96.25,68.25,67.7,7.9,31.0
0,97.25,57.25,63.8,8.9,31.0
0,142.25,68.75,57.0,7.2,31.0
0,56.75,54.25,67.0,8.6,31.0
0,38.25,68.25,93.7,6.9,31.0
0,58.75,26.25,41.5,11.6,0.0
0,103.25,40.25,30.6,13.0,31.0
0,97.75,21.25,30.0,13.2,0.08
0,133.25,63.25,66.3,6.2,31.0
0,167.75,65.75,66.2,9.6,31.0
0,163.25,69.25,71.8,9.0,31.0
0,162.75,65.25,69.5,8.9,31.0
0,65.75,45.25,57.1,9.1,31.0
0,98.75,60.75,73.3,8.0,31.0
0,88.25,22.75,42.7,13.5,0.0
0,114.25,59.75,77.8,7.8,31.0
1,22.13487,42.25545,80.4,6.6,25.78
0,62.25,57.75,66.3,7.4,31.0
1,19.900101,41.222631,71.1,8.3,12.33
0,110.75,57.75,72.9,9.3,31.0
0,132.25,49.25,41.2,9.7,31.0
0,123.25,43.75,22.7,9.5,31.0
1,24.0464,40.7708,72.4,6.6,15.52
0,120.75,54.25,47.8,14.2,31.0
0,102.75,71.75,49.0,6.7,31.0
0,140.75,53.25,51.3,6.5,31.0
0,155.75,55.75,63.3,6.5,31.0
0,85.75,64.25,87.7,6.1,31.0
0,111.75,39.25,22.0,11.7,31.0
0,100.75,30.75,44.1,17.7,31.0
0,109.25,75.25,59.1,6.5,31.0
0,67.25,59.75,58.0,7.1,31.0
0,138.75,62.75,56.0,7.5,31.0
0,100.75,42.25,25.3,12.7,31.0
0,45.25,39.25,61.6,8.1,26.09
1,36.226272,37.367775,65.9,6.8,5.85
0,129.75,45.25,31.9,10.4,31.0
0,92.75,38.75,33.5,16.2,31.0
1,23.351944,43.239722,87.4,5.9,25.88
0,26.25,22.25,18.2,16.9,4.09
0,103.75,53.25,68.4,8.9,31.0
0,85.75,67.75,87.3,5.9,31.0
1,22.42999,42.35848,80.4,6.6,25.78
0,106.75,57.75,68.7,9.6,31.0
0,120.25,66.75,63.8,6.6,31.0
0,161.75,59.25,74.3,7.7,31.0
0,77.75,60.25,67.2,7.8,31.0
0,28.25,40.25,76.2,7.6,12.07
0,84.25,62.25,81.9,7.3,31.0
0,45.25,44.75,80.7,6.0,25.78
0,75.75,62.75,80.0,6.9,31.0
1,44.967452,46.957308,79.6,5.8,28.32
0,86.25,27.25,29.8,13.5,9.03
0,166.25,62.25,61.8,7.9,31.0
0,68.75,51.25,41.0,8.8,31.0
0,81.75,45.75,37.4,12.6,31.0
0,139.25,65.25,55.1,7.6,31.0
0,101.75,52.25,39.9,10.8,31.0
1,35.229827,32.457572,54.0,8.3,0.74
0,90.25,69.75,75.7,7.6,31.0
0,115.75,39.25,16.6,11.1,30.52
0,121.25,68.25,64.0,6.2,31.0
0,114.75,27.25,82.0,3.6,14.19
0,91.25,69.75,72.8,7.9,31.0
0,54.25,50.25,56.9,8.3,31.0
0,134.75,59.25,60.9,6.8,31.0
0,89.25,30.75,38.8,14.1,31.0
0,72.25,23.75,10.9,17.0,0.0
0,44.25,40.75,67.4,9.4,31.0
0,73.75,56.75,49.1,8.2,31.0
0,75.75,30.75,48.4,14.1,4.09
0,117.75,64.75,69.1,7.6,31.0
0,112.75,22.25,67.2,5.4,0.66
0,102.75,24.75,47.1,10.4,14.45
0,72.25,55.75,49.8,8.3,31.0
0,112.75,26.25,81.1,3.8,16.33
0,107.75,50.25,28.2,10.2,31.0
0,110.25,58.25,74.9,8.9,31.0
0,46.25,43.25,80.5,5.9,25.15
1,20.008333,41.570394,81.0,6.6,24.49
0,100.75,54.75,58.1,11.0,31.0
0,47.75,37.25,58.8,9.1,27.14
1,71.599406,54.308897,47.5,8.4,31.0
0,140.25,75.25,56.3,6.6,31.0
0,124.75,55.75,65.3,10.0,31.0
0,36.75,41.25,73.7,6.2,5.85
0,95.75,30.75,40.5,14.7,31.0
0,46.75,51.75,75.9,6.2,30.78
0,123.25,55.25,59.9,11.9,31.0
0,159.75,58.75,79.6,6.8,31.0
0,48.25,29.75,41.7,9.8,0.23
0,68.25,50.25,41.2,8.7,31.0
0,54.75,20.75,35.3,9.1,0.0
0,45.75,36.25,60.1,9.4,27.32
0,87.75,34.25,42.3,14.4,31.0
0,46.25,36.25,60.1,9.6,28.55
0,133.25,71.25,53.0,5.9,31.0
0,82.75,64.75,89.7,6.0,31.0
0,89.25,68.25,83.8,6.2,31.0
0,38.75,45.25,79.2,5.7,22.25
0,73.25,25.75,17.3,16.0,0.74
0,55.25,71.75,75.5,8.6,31.0
0,78.25,51.25,43.7,9.6,31.0
0,146.25,70.75,64.8,7.7,31.0
0,54.25,28.25,43.9,12.2,4.27
0,101.75,61.75,73.9,9.0,31.0
0,73.75,26.25,22.6,16.3,1.42
0,127.75,54.25,39.8,11.2,31.0
0,70.75,64.75,81.4,5.7,31.0
0,-10.25,8.75,51.0,15.6,0.0
0,91.75,59.75,74.4,8.0,31.0
0,122.75,51.75,35.1,15.8,31.0
0,88.75,45.75,35.5,12.7,31.0
0,18.25,-22.75,53.8,14.0,0.0
0,130.75,51.75,37.6,12.9,31.0
0,102.25,41.75,26.0,12.9,31.0
0,91.25,68.25,80.9,6.7,31.0
1,85.338733,26.790316,22.7,13.2,0.01
0,55.25,29.25,42.8,14.8,22.25
0,20.75,-17.75,66.3,11.8,0.0
0,159.75,67.75,74.9,8.9,31.0
0,57.25,64.25,75.5,7.1,31.0
0,78.75,63.75,91.0,6.8,31.0
0,74.75,63.25,79.0,6.8,31.0
0,30.75,39.75,76.8,7.5,23.68
0,103.25,37.75,39.1,11.7,31.0
0,114.25,50.75,28.3,12.6,31.0
0,83.75,18.25,23.1,10.8,0.0
0,48.25,50.75,68.9,7.2,30.98
0,40.25,34.25,46.9,11.1,9.77
0,90.75,35.75,38.7,14.7,31.0
1,49.38186,25.32185,45.4,8.7,0.0
0,100.25,71.75,53.8,6.7,31.0
0,157.75,68.75,78.5,8.8,31.0
0,82.25,40.75,42.3,12.8,31.0
0,37.25,39.75,71.6,7.9,28.17
0,70.75,57.75,47.3,8.0,31.0
0,15.75,-15.25,75.0,12.6,0.0
0,72.75,27.25,22.0,17.2,4.45
0,122.75,71.75,63.8,5.9,31.0
1,26.3092,41.0078,74.9,6.9,18.19
0,96.25,20.25,22.7,12.5,0.0
0,107.75,35.75,51.2,7.5,29.77
0,78.25,68.25,87.2,6.9,31.0
0,36.25,40.75,75.1,6.9,23.68
1,36.207,37.131,65.9,6.8,5.85
1,19.92765,40.3604,73.3,8.3,12.07
1,36.392331,37.252063,65.9,6.8,5.85
0,78.25,48.75,38.0,10.8,31.0
0,169.25,69.75,72.1,9.2,31.0
0,50.75,64.75,76.9,7.1,31.0
0,125.75,48.75,26.5,11.7,31.0
0,68.75,61.25,60.9,6.7,31.0
0,159.25,63.25,74.2,9.0,31.0
0,38.75,67.25,92.6,7.1,31.0
0,30.25,37.75,69.4,8.9,14.99
0,66.75,41.25,59.7,9.3,25.78
0,106.25,36.25,48.5,8.6,30.86
0,109.75,53.75,39.6,10.4,31.0
1,21.956487,41.817848,82.3,6.7,24.49
0,97.75,72.25,57.6,6.7,31.0
0,37.75,31.25,38.6,11.6,4.45
0,134.75,54.25,49.2,10.2,31.0
0,108.25,22.25,86.7,4.2,1.31
0,71.25,68.25,90.1,6.3,31.0
0,132.25,67.25,56.0,6.3,31.0
0,163.25,64.75,67.3,9.0,31.0
0,77.25,33.25,62.7,11.3,31.0
0,111.75,52.75,30.1,12.6,31.0
0,150.75,61.25,68.6,7.1,31.0
0,103.25,72.25,50.1,6.6,31.0
0,159.25,56.75,78.0,7.0,31.0
0,73.75,27.25,29.0,16.8,3.73
1,20.26663,42.119075,82.0,6.0,26.09
0,157.25,68.25,79.9,8.8,31.0
0,171.75,61.75,66.2,9.5,31.0
1,22.426979,42.220383,80.4,6.6,25.78
0,82.25,68.25,84.1,6.3,31.0
0,81.25,20.75,15.7,14.7,0.0
0,103.75,58.75,71.3,10.2,31.0
0,46.25,32.25,42.2,11.2,2.17
0,148.25,61.25,66.6,7.5,31.0
0,154.75,70.25,81.7,8.8,31.0
0,112.75,26.75,81.3,3.5,16.06
0,102.75,22.25,64.1,6.5,0.0
0,17.25,-26.25,35.0,14.4,0.0
1,36.272628,37.415863,65.9,6.8,5.85
0,114.75,23.25,67.2,7.0,2.04
0,99.25,52.25,34.5,12.4,31.0
0,98.75,62.75,73.7,7.1,31.0
0,83.75,53.25,61.2,8.9,31.0
0,139.25,63.25,55.6,7.9,31.0
0,43.75,20.25,45.7,11.3,0.0
0,30.25,58.75,94.3,5.2,29.66
0,38.75,53.25,80.5,5.7,30.78
0,110.75,52.75,35.3,11.8,31.0
1,22.40071,42.37227,80.4,6.6,25.78
0,74.25,20.75,17.5,18.1,0.0
0,71.25,45.75,37.4,10.0,31.0
0,112.25,43.75,26.2,12.0,31.0
0,124.25,48.25,27.4,12.9,31.0
1,35.52139,32.84946,56.2,8.2,1.21
1,34.87033,30.8365,39.9,10.9,2.17
0,76.25,27.75,43.7,14.6,3.22
0,157.75,67.75,79.7,8.7,31.0
0,74.25,60.75,63.5,7.2,31.0
0,36.75,37.25,70.9,6.6,14.72
0,37.25,53.25,81.7,5.2,30.38
0,86.75,21.75,37.0,13.2,0.0
0,112.75,32.25,59.6,8.6,24.93
0,29.75,60.25,93.2,5.4,29.88
0,44.25,57.25,79.4,5.6,31.0
0,93.75,34.25,38.6,15.0,31.0
0,84.25,29.25,42.6,16.4,31.0
0,93.75,69.75,68.4,7.7,31.0
0,64.75,67.25,90.5,5.8,31.0
0,111.25,28.25,81.4,4.5,22.25
0,57.75,68.25,75.0,8.0,31.0
0,144.25,70.25,62.1,7.4,31.0
0,58.75,66.25,68.2,7.9,31.0
0,109.75,34.75,51.4,9.4,28.55
0,83.25,61.75,80.6,7.0,31.0
0,28.75,24.25,25.6,16.5,5.03
0,155.75,66.75,83.0,8.7,31.0
0,131.75,60.75,76.1,6.3,31.0
1,25.675833,42.050556,80.7,7.2,23.33
0,106.75,59.25,72.4,9.5,31.0
0,78.75,45.25,43.6,11.7,31.0
0,31.25,26.25,28.0,16.6,5.03
0,117.75,27.75,75.2,5.5,21.27
0,112.25,36.25,37.0,11.0,30.88
0,90.25,66.25,83.8,6.1,31.0
1,26.1,40.81,71.0,6.8,14.99
0,95.75,51.25,42.4,11.3,31.0
0,111.25,65.75,79.4,8.2,31.0
0,87.25,48.75,38.7,12.2,31.0
1,19.4333,42.2,71.8,7.0,13.65
1,19.632426,41.027939,71.1,8.3,12.33
0,52.25,63.75,76.9,6.5,31.0
0,93.75,60.75,74.6,7.5,31.0
0,67.75,60.75,61.2,6.8,31.0
0,70.75,63.75,77.9,5.9,31.0
0,118.25,56.25,57.4,12.3,31.0
0,106.75,32.25,71.1,6.1,23.33
0,70.25,54.75,43.8,8.4,31.0
0,57.25,61.75,75.6,6.9,31.0
0,63.25,61.25,67.2,7.6,31.0
0,139.75,53.75,50.4,7.1,31.0
0,150.25,68.25,84.9,8.1,31.0
0,44.25,23.75,42.9,12.4,0.0
1,22.241938,41.669921,81.1,6.7,23.8
0,53.75,49.75,57.2,8.4,31.0
0,19.25,-19.75,63.8,12.7,0.0
1,23.416667,41.544167,79.6,6.4,26.87
0,95.25,53.75,54.3,11.1,31.0
0,118.75,71.75,68.6,6.1,31.0
0,141.75,59.75,51.5,6.3,31.0
0,59.75,58.75,71.5,7.0,31.0
0,158.75,66.75,77.0,8.6,31.0
0,160.25,68.25,74.4,8.6,31.0
0,73.75,50.75,32.7,9.4,31.0
1,19.62631,40.35514,73.3,8.3,12.07
0,74.25,22.25,14.3,17.1,0.0
0,149.75,60.75,65.6,7.0,31.0
0,111.75,66.75,79.5,7.9,31.0
0,95.25,39.75,33.9,14.4,31.0
0,74.25,44.75,45.2,10.1,30.97
0,178.25,66.25,51.3,8.4,31.0
0,83.75,31.75,48.4,16.1,31.0
0,134.25,46.75,41.5,7.9,31.0
0,61.25,29.25,38.1,14.9,16.33
0,108.75,30.75,75.1,5.2,19.5
0,86.25,42.75,35.1,11.6,31.0
0,13.25,-9.25,77.5,6.8,0.0
0,127.75,51.75,29.3,11.7,31.0
0,138.25,62.75,55.5,7.5,31.0
0,42.25,55.25,80.2,5.8,30.94
0,59.75,26.25,41.1,11.6,0.0
0,54.75,65.25,76.9,6.9,31.0
0,134.75,69.75,52.3,6.4,31.0
0,50.75,67.75,79.4,7.9,31.0
0,71.75,46.25,29.1,10.0,31.0
0,32.75,27.25,28.8,14.1,4.09
0,82.75,48.25,55.9,10.4,31.0
0,125.75,49.25,26.2,12.4,31.0
0,25.25,22.25,16.3,16.6,6.06
0,50.75,23.75,45.6,7.8,0.0
0,46.25,59.25,77.9,6.2,31.0
0,84.25,61.75,79.4,7.2,31.0
0,99.75,26.75,29.1,13.3,28.48
0,37.25,40.25,72.6,8.2,27.5
0,67.75,52.75,40.2,8.7,31.0
0,44.75,64.75,86.4,7.6,31.0
0,110.25,51.75,35.3,11.5,31.0
0,52.75,43.75,71.9,7.9,28.55
0,99.75,30.25,41.1,15.6,31.0
1,85.163432,23.656085,27.3,13.6,0.08
0,55.75,29.25,43.7,15.0,21.77
0,47.75,40.25,68.5,7.6,12.86
0,83.25,38.25,46.8,15.5,31.0
1,24.8361,40.9222,71.0,6.4,11.55
1,20.501668,41.810369,81.2,6.3,27.14
0,53.25,27.75,45.2,10.3,1.42
0,102.75,60.25,73.3,10.2,31.0
0,115.75,60.75,74.0,7.9,31.0
0,82.25,69.75,78.3,7.0,31.0
0,109.75,41.25,23.4,11.5,31.0
0,110.75,55.25,50.1,11.5,31.0
0,139.75,49.75,47.8,7.6,31.0
0,66.25,52.75,37.8,8.6,31.0
0,47.25,55.75,70.7,5.8,31.0
1,47.4492,40.57,69.5,7.3,16.59
0,36.25,28.75,28.9,12.3,3.39
0,118.75,43.25,26.0,10.1,31.0
0,77.75,40.25,47.5,10.7,31.0
0,93.75,42.25,29.9,12.4,31.0
0,55.75,35.25,50.8,10.4,12.07
0,132.75,54.25,47.5,9.9,31.0
0,14.75,-7.75,85.0,9.5,0.0
0,96.75,74.75,57.7,7.0,31.0
0,90.75,68.25,79.8,6.6,31.0
0,92.25,33.75,37.5,15.6,31.0
0,61.25,76.25,77.5,8.0,31.0
0,30.25,22.75,24.0,15.7,1.21
0,87.75,63.25,85.3,6.7,31.0
0,110.25,71.75,64.9,6.5,31.0
0,81.75,46.25,42.4,10.8,31.0
1,20.122379,42.371421,82.0,6.0,26.09
0,39.75,55.75,85.9,5.7,30.82
