Response,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts
0,71367.0,0,0,24,227,23,389
0,80184.0,0,0,19,1035,134,670
0,30630.0,1,1,67,27,1,12
0,73454.0,0,0,95,982,73,351
0,42691.0,0,0,48,179,2,64
0,70503.0,0,0,73,1379,33,216
1,25545.0,1,0,35,32,1,64
0,32880.0,1,0,76,8,4,15
0,77863.0,0,0,20,881,38,319
0,50353.0,0,0,72,141,15,153
0,61839.0,0,0,20,1000,155,379
0,49154.0,1,1,69,206,10,67
0,47682.0,0,1,80,162,61,83
0,72679.0,0,1,65,619,54,260
0,57954.0,1,1,52,456,4,24
0,65316.0,1,1,65,112,6,92
0,28567.0,1,0,57,11,3,22
0,47352.0,0,1,70,172,12,112
0,44931.0,0,1,0,78,0,11
1,76982.0,0,0,19,464,151,292
0,57247.0,0,1,50,99,4,32
0,22944.0,1,0,67,19,3,19
0,25315.0,1,0,46,1,9,8
0,43638.0,0,1,37,63,10,83
0,42710.0,1,0,38,252,3,42
1,84169.0,0,0,9,1478,19,403
0,54058.0,0,1,56,198,18,252
0,24683.0,1,0,98,8,4,10
1,85620.0,0,0,68,416,46,925
0,47850.0,1,0,72,42,7,43
1,19514.0,1,1,47,14,3,21
0,27159.0,1,1,33,17,0,3
0,39548.0,1,1,87,15,4,10
1,21474.0,1,0,0,6,16,24
0,60504.0,0,1,73,458,0,24
0,22419.0,0,0,74,30,3,47
1,81698.0,0,0,4,179,28,520
0,43462.0,1,1,50,90,17,97
0,54880.0,1,0,57,308,85,137
0,79908.0,0,0,30,557,129,761
0,15315.0,0,0,27,7,4,13
1,87771.0,0,1,61,1492,38,287
0,33039.0,1,0,4,30,8,12
0,81741.0,0,0,75,249,153,940
0,71499.0,0,1,12,465,25,132
0,62466.0,0,1,13,129,129,259
0,48799.0,0,1,9,174,18,81
0,52157.0,0,1,48,189,2,29
0,66565.0,0,1,80,747,10,161
0,29298.0,1,1,60,6,0,2
0,47691.0,0,1,43,14,0,3
0,38200.0,1,1,19,12,0,4
0,44989.0,0,1,26,98,0,106
0,38443.0,1,1,58,32,0,5
0,38593.0,1,0,42,51,12,49
0,64413.0,0,1,27,200,5,44
0,36959.0,1,0,56,25,6,25
1,61996.0,0,1,27,1050,12,144
0,51287.0,1,1,10,117,0,22
0,13260.0,1,1,48,9,4,17
0,47472.0,1,1,39,56,0,11
0,54603.0,1,1,85,145,13,46
0,45207.0,1,1,64,203,0,10
0,40689.0,0,1,69,270,3,27
0,47821.0,1,1,54,9,0,16
0,27450.0,0,0,57,37,12,23
0,39453.0,1,0,64,46,0,7
0,26850.0,1,1,10,31,1,13
1,79800.0,0,0,65,1060,21,530
0,61794.0,0,1,74,264,47,188
0,53863.0,0,1,4,399,4,30
0,24221.0,0,0,94,8,9,9
1,39684.0,1,0,41,19,0,35
1,92163.0,0,0,25,817,183,797
0,69882.0,0,0,94,292,127,635
0,33178.0,1,0,9,12,6,2
0,59973.0,0,0,47,130,30,168
1,17459.0,1,0,12,6,4,16
0,23910.0,1,0,80,16,12,18
0,42169.0,1,1,20,19,0,9
0,26224.0,1,0,39,4,7,15
0,31089.0,1,0,57,31,3,31
0,30081.0,0,1,27,36,0,2
0,62807.0,0,1,83,526,28,135
0,72906.0,0,0,79,400,32,519
0,61467.0,0,2,69,410,16,114
0,49618.0,1,1,77,80,3,26
1,21888.0,1,0,15,88,10,46
0,42429.0,0,1,99,55,0,6
0,26150.0,2,1,61,5,1,13
0,30801.0,0,1,23,8,4,5
0,81168.0,0,0,84,410,0,592
0,26877.0,0,0,74,101,13,76
0,45006.0,0,0,90,162,25,53
0,18978.0,1,0,41,2,8,1
0,22574.0,2,1,28,25,0,8
1,48240.0,0,0,73,389,91,248
0,45837.0,1,1,88,215,13,87
0,35791.0,2,1,94,27,0,5
0,162397.0,1,1,31,85,1,16
0,54162.0,1,1,31,5,6,10
0,30522.0,0,1,6,179,8,83
0,54456.0,0,1,23,352,0,27
0,31632.0,0,0,92,17,8,12
0,72298.0,0,0,52,625,35,169
0,36975.0,1,0,50,10,6,11
0,72635.0,0,0,54,390,22,323
0,13624.0,1,0,93,10,2,15
0,84196.0,0,1,56,215,63,507
1,70971.0,0,1,28,1001,17,572
0,34487.0,1,1,94,19,18,33
0,28769.0,1,0,76,41,5,129
0,69084.0,1,0,43,1181,107,199
0,65488.0,0,0,46,603,45,207
0,62466.0,0,1,13,129,129,259
1,32218.0,0,0,27,10,24,15
1,83917.0,0,0,12,514,22,732
0,46102.0,2,1,3,14,0,1
0,84574.0,0,0,72,387,20,713
0,56181.0,0,1,6,121,103,69
1,63120.0,0,1,53,965,69,279
0,73691.0,0,1,58,707,21,250
0,63381.0,0,1,78,571,50,142
0,76140.0,0,0,57,586,66,653
0,62859.0,0,1,37,1063,89,102
0,45906.0,0,1,20,305,3,27
1,77632.0,0,0,73,1200,105,758
0,46463.0,1,1,56,163,2,40
1,105471.0,0,0,36,1009,181,104
0,55282.0,1,0,9,125,6,73
0,78710.0,0,1,42,721,0,152
0,66886.0,0,1,28,315,4,62
0,98777.0,0,0,23,1000,19,711
0,29103.0,1,0,38,16,0,17
0,67445.0,0,1,63,757,80,217
0,50616.0,0,1,71,30,2,25
0,49431.0,0,1,9,219,3,100
0,153924.0,0,0,81,1,1,1
0,61278.0,0,1,87,111,3,28
0,26490.0,0,0,92,45,47,52
0,73059.0,0,1,36,410,112,420
0,46734.0,1,2,86,100,1,39
0,56253.0,0,1,83,509,0,65
0,19986.0,1,0,74,3,6,5
0,58330.0,0,1,87,445,53,213
0,25965.0,0,0,29,2,2,11
0,14661.0,0,0,88,4,1,11
0,18690.0,0,0,77,6,1,7
0,45068.0,0,1,25,14,0,3
0,21063.0,1,0,34,1,10,11
0,29187.0,1,0,43,26,0,6
0,54690.0,1,1,76,111,16,37
0,59304.0,0,1,81,418,61,428
0,59247.0,0,2,87,327,9,122
0,66731.0,0,1,33,371,159,194
0,77353.0,0,1,38,275,59,107
0,52614.0,0,1,63,789,0,142
0,26751.0,2,0,26,1,1,5
1,81300.0,0,1,17,1004,12,145
0,70337.0,0,0,75,187,81,149
1,36145.0,1,0,13,56,4,76
0,65295.0,0,0,19,365,32,117
0,68118.0,0,1,51,595,23,123
0,68743.0,0,0,81,1132,134,384
0,41039.0,0,0,32,34,11,137
0,38946.0,0,1,84,116,6,82
0,65777.0,0,0,87,565,32,435
0,66476.0,0,1,99,372,18,126
1,86857.0,0,0,96,899,102,838
0,160803.0,0,0,21,55,16,1622
0,77845.0,0,0,40,760,40,480
0,69476.0,0,0,3,260,86,559
1,50611.0,0,1,98,459,0,24
0,61209.0,0,0,73,466,0,224
0,42315.0,0,1,90,67,15,80
0,13084.0,0,0,29,2,0,7
1,47570.0,1,1,3,67,1,20
0,61923.0,0,2,94,92,4,18
0,34824.0,0,0,65,4,2,11
1,26518.0,1,1,33,20,1,28
0,45938.0,0,0,46,273,11,178
0,78468.0,0,0,29,434,22,388
0,78901.0,0,1,99,321,11,309
0,71427.0,2,0,26,212,123,177
0,71022.0,0,1,30,909,12,278
1,90247.0,0,0,27,1184,32,352
0,41335.0,1,0,24,112,19,21
0,71952.0,1,0,93,656,80,455
0,35682.0,1,0,34,23,0,8
0,43185.0,0,1,88,537,6,42
0,66375.0,0,1,96,712,0,45
1,35178.0,1,0,10,23,1,13
0,25252.0,1,0,26,1,3,4
0,55250.0,0,1,49,664,58,83
0,33249.0,1,0,11,6,10,21
0,58398.0,0,0,44,299,5,201
0,50272.0,1,0,75,99,13,66
0,76618.0,0,0,64,749,40,294
1,87305.0,0,0,19,345,25,501
0,25851.0,1,0,45,9,4,18
0,58710.0,0,1,77,440,81,368
0,45160.0,1,1,9,8,2,5
0,74806.0,0,1,1,670,9,249
0,59111.0,0,0,90,524,0,134
0,18988.0,1,0,43,6,0,6
0,72190.0,0,0,79,597,166,597
1,7500.0,1,0,19,7,0,12
0,44794.0,0,1,99,54,0,7
0,80395.0,0,0,62,445,25,706
0,75012.0,0,0,41,294,142,218
0,56962.0,2,1,60,292,3,77
0,89891.0,0,0,17,412,22,132
0,35946.0,1,1,24,8,0,3
0,53593.0,1,1,60,349,4,78
0,66373.0,1,1,57,328,9,124
0,45072.0,1,2,74,144,2,99
0,89694.0,1,1,22,1126,28,211
1,72025.0,0,0,46,967,0,617
0,67432.0,0,1,69,432,79,341
0,70545.0,0,1,29,138,39,63
0,17487.0,1,0,37,0,0,1
0,62882.0,0,1,26,509,133,497
0,64108.0,0,1,8,948,10,86
0,34941.0,1,1,26,39,2,25
0,48767.0,1,2,79,28,1,21
